commentaire,dialect,classe
انتي غيرانه فسري منيح شو قال إذا منك معلمه انجليزي بلاكي وبلا اعلامك,Lebanon,normal
جماعة سعد الحريري كالحروف كبعض يحترف النصب والبقية يستحقون الكسر البعض  ليعمل سيلفي يستحق الرفع وكلهم كلاب سلمان الذي تحت شحاطته يضمهم,Lebanon,hate
كليتنا ناقص بس اطبق علينا التحرش الجسدي وبتكون ختمت كل انواع التحرش.,Lebanon,normal
شكرا لكل الأبواق المأجورة وغير المأجورة في افتراءاتها اليومية على جبران باسيل أمنتم له شعبية ما كان ليحلم بها الى…,Lebanon,abusive
إذا أرادت إسرائيل أن تضمن أمنها وهو حق عليها ان تتوقّف عن الاعتداء,Lebanon,normal
ممكن تعطينى دليل واحد من كتبك او من علمائك على حرمة اوكراهية شرب بول البعير   ....,Lebanon,normal
إن تحدث عن التبرج دافع وقال : ربما تكون متبرجة لكنه…,Lebanon,hate
انت كتير حمار يا وئام,Lebanon,abusive
كفاية تنمر بقى يا زنجي يابن الوسخة,Lebanon,hate
لأنكم يا استاذ حبيب انت ومن تمثل من فكر همجي ودموي لا تفهموا الا لغة الحروب والدماء والخراب انتم وثقافتك…,Lebanon,abusive
قد ما تملقت حنجيبك العقاب لوهاب وهاب قاتل ابو دياب,Lebanon,normal
وطبعاً من أسباب تشبث العراقيين ببول البعير وأنه أكثر مايُذكر على ألسنتهم أن براءة الأختراع الوحيدة وأن تعليم العراق…,Lebanon,hate
لقد بنى في الصحراء مدينة رائعة هي دبي ونحن حولنا وطناً رائعاً إلى صحراء بفضل عصابتنا الحاكمة,Lebanon,normal
جبران باسيل حليف حزب الزباله حلفاء شياطين ايران لبنان المزبله ومصدر المخدرات ومصدر الاٍرهاب يجب ان تعزل,Lebanon,hate
انما اطلق هذاالمسمى من قبل اهل البدع وافكار منحرفة لانه يدعوا الي التوحيد واتباع السن…,Lebanon,hate
وهاب من كتر الخبيط امسى مريض عقليا يعتقد بانه زلمه وهنا تكمن المشكلة,Lebanon,normal
وئام زرع شعر شالو من طيزو زرعن براسو من وقتا ضاعت لبوصلة صار يتدشا خرا,Lebanon,abusive
نعم للتوحيد,Lebanon,normal
وانت صغيرة يجب تجاهلك واضح عندك عقد نفسية من صغرك,Lebanon,normal
في القران بلسان النبي إبراهيم عليه السلام اذ قال  أتعبدون ما تنحتون  ؟ نعمل الزعيم ثم نعبده,Lebanon,normal
والامامو علي انه كلاب اربتعش آذار ما بدن الى شباب حركة أمل,Lebanon,hate
بريطانيا ومعها توجهات مرتبة بأوروبا متحمضة من روسيا من بعد قصة سكريبال ترامب انسحب من الاتفاق النووي ومتحمض لإيران وممكن يلاقي دعم لأي عملية أو مقاطعة ضدها بعد ما حل مشكلة كوريا فعلياً محور المقاومة بالرغم من انتصاراته العسكرية وضعه السياس,Lebanon,normal
الوزير جبران باسيل ظاهرة لن تكرر,Lebanon,normal
الواضح انك مكتر شرب بول البعير ومأثر على مخك او بقايا مخك ان #وجد#,Lebanon,hate
الحق مش ع بول بريمر الحق ع الحمير اللي سمحه ل بول وغير بول يحتل بلدهم,Lebanon,hate
خليه يشوف اللي بجنبه القصف الاسرائيلي على ميليشياء ايران ولا حابب يستنكر عن طريق ف,Lebanon,normal
وهاب حليف لسوريا سوريا حليفة لايران ايران حليفة قطر قطر حليفة سوريا ما فهمت شو قاهرك من القطريين ارجوك اشرحلي,Lebanon,normal
حطموا أحلام جبران باسيل بالمساهمة بإعادة الإعمار,Lebanon,normal
هذه بقره ولا خنزير هههههههههههههه,Lebanon,hate
دخلك يا حضرة وهاب سؤال وين صار المتهمين بمحاولة قتل بطرس حرب وين المجرم بقتل الضابط حنا وين كل المتهمين,Lebanon,normal
سد بوزك يا حيوان يلعن روح حافظ تبعك,Lebanon,abusive
ولك يا عمّي خلّولنا شي واحد يوقف كرامة فخامة هلرئيس آخر أيامه حاجتنا بهدلي,Lebanon,normal
عيب ان ترى طبيبة 30 سنة بايرة تداوي في فتاة 20 سنة بالحمل,Lebanon,hate
اثبات جديد انو بلى عقل ولا ضمير ولا حياء مأفلس من الانسانية ما عندو غير بوق يحكي بما يم…,Lebanon,normal
من متى تفهمون بالكورة يااصحاب دوري بول البعير,Lebanon,hate
تشتهي تشوف صرماية مقطّعة من شحاحيط السلطان يرد على كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال و اللاجئين المشردين و بس تتكلم أي كلمة ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه على شرفك اذا عندك جنس الشرف,Lebanon,abusive
كمثل من يقتحم مباني الدولة شو منسمي,Lebanon,normal
انقبر كول هوا كل الاحزاب والمليشيات اللبنانية والاحتلالات والارهابيين والعصابات المسلحة قبل الحرب وبعد الحرب أطل…,Lebanon,abusive
يبدو انك لاتعرف التكلم مع البشر وذلك لكثرة شرب بول البعير كاسيادك,Lebanon,hate
عم يشتغل لإبن زايد هلق مجبور,Lebanon,normal
حافظ اسد و السلالة اذواق لك هاد كهريس صرف صحي كبينة خرا اذوااق مين يا امة الله,Lebanon,abusive
لعنة الله على ابناء المتعه خنازير قذره لادين ولاضمير,Lebanon,hate
ما فيها حاجة لأنو التحرش لازم يتم علي بت,Lebanon,hate
كل دول العالم فيها ظاهرة التحرش بالذات مع البنات سواء بنص اليوم او بنص الليل متستره او شبه عاريه وبنسب كثيره بعد بس…,Lebanon,hate
الجرذ جبران باسيل يفتل عضلاته بوضعه لوحة في المنبر الرئيسي لاجتماع القمة كتب عليها وزير الخارجية مخالفا لما جرت علي…,Lebanon,abusive
عثمان من أنصاف الرجال,Lebanon,abusive
ثقفو ابنائكم علموهم معنى التحرش علموهم الحذر من الاقرباء قبل الغرباء علموهم المناطق الممنوعة اللمس في اجسادهم الصغي…,Lebanon,normal
اللي استقبلوك أتفه منك يا اخونجي ياخائن,Lebanon,hate
هنبني الدوله يابو دم خنزير,Lebanon,hate
العما بِقلبك ما أتقل دمّك و ما أسقلك,Lebanon,abusive
دايرين حملة ضد التحرش,Lebanon,normal
لاتعتب إلى من يشرب بول البعير,Lebanon,hate
بايره = كثيرة الكذب,Lebanon,hate
اوف كتير سطحي طلعت وفوق هيدا جلييط,Lebanon,normal
انت بتعرف يا أستاذ فادي انو لبنان احلى بلد بالعالم,Lebanon,normal
2018 ومازال تايجيبو الافارقة بالتيست و النادي بطل افريقيا راه مصيبة كحلة و الان…,Lebanon,hate
ايه مضبوط يا معاق معلمك الملطوش متلك نكش اوتستراد حالات عم بدور عمقابر وين ما كان في مقابر الا عند نظامك السوري ما هيك يا عوني الذمي العما بعرضكن شو بلا شرف,Lebanon,abusive
كول هوا اندعستوا خلص بئا انكتموا,Lebanon,abusive
د.سحر الهبدان : أهداف النظام هي مكافحة جريمة التحرش، والحيلولة دون وقوع جريمة التحرش، وتطبيق العقوبة على مرتكب الجر…,Lebanon,normal
نحتاح شعب جديد,Lebanon,normal
مين انت يعني حتى عم تهدد انقبر احترم حالك يا نكرة,Lebanon,abusive
انت حمار يا ول ولا بتستحمر علينا,Lebanon,abusive
ما بسلم عليك اللواء ب بقلك بس يجيه مذكرة يجيبك بجيبك,Lebanon,normal
انا ح اعرسها عشان ما تقول عليها بايرة وتعال قول كلام ما عندك رجال يأدبوك دة قدامي ..,Lebanon,hate
مياومو الإعلام كل شائعة فيها جبران باسيل بيغلى سعرها,Lebanon,normal
خنزير مخرفن,Lebanon,hate
ما حدا باعصك الا اللواء,Lebanon,abusive
ميشال عون جبران باسيل,Lebanon,normal
ههههههههه ماتوقع  فيه  اهانه  اكبر  من شرب  بول البعير,Lebanon,hate
الله يفصل راسك عن جسدك يا درزي يا قذر,Lebanon,hate
شكراً قطر و أهلاً و سهلاً بأميرها الشيخ تميم بن حمد آل ثاني حفظه الله رغم انفك أيها التافه من انت,Lebanon,abusive
كلمة جبران باسيل إختصرت القمه بكلمه,Lebanon,normal
العهد القوي الفنان زين العمر أحب جبران باسيل  ومحبتي له نابعة من محبتي للوطن  وهو رجل دولة ناجح عم يشتغل,Lebanon,normal
انت اشرب بول البعير. وسكت,Lebanon,hate
شكراً جبران باسيل على كل الجهود التي قمت بها من أجل انجاح القمة شكراً لك على مقررات الخاصةً بالنارحين السوريين,Lebanon,normal
و الله يا سيد وئام مننسى اللافتات لي علقناها من بيروت الى اقاسي الجنوب ترحيبا بالشيخ تميم و محبيه,Lebanon,normal
الفايدة منهم انهم يوروا لامثالكم قيمتكم الحقيقية ولانسيتوا لما كنتوا تشربوا بول البعير و…,Lebanon,hate
يا زلمي لو طالع بإيدك شي كنت مش عم تعوي هيك من مك جمعة خلصنا بقى,Lebanon,abusive
جماعة التيار الله يحميك,Lebanon,normal
من فترة كنت عم تحيي اللواء عثمان لأنو ما قبل تدخل وليد بيك حسب زعمك وقلت بدنا هيك ضباط اكفاء بس الهيقة,Lebanon,normal
ولي بهييم ايا عربي طعمرك شو بهيم,Lebanon,abusive
أصلن خلفة البنات بتجيب العار,Lebanon,hate
ما تردو عليها هيدي المخلوقة بتتنفس فتن وبدا تعمل فتنة بين جمهور المقاومة وجمهور التيار والوزير باسيل هو…,Lebanon,normal
النائب العدساني: مكتب وزير المالية طلب من ترشيح خمسة للجمارك واعتبر هذه الممارسات منحرفة,Lebanon,normal
بقولك ايه يا خول شرطتنا العظيمه اخذت الثأر لاخوتنا المسحيين وقتلت 19 خنزير من جماعتكم عقبال بقيتكم,Lebanon,hate
يالله لهذه الدرجه وصل الانحطاط الاعلامي ياقناة الخنزيره في مثل يقول,Lebanon,hate
ههههههههه اصلا احمد منزل تغريدة هلأ ما فيا جبران باسيل لأول مرة شكلوا اكل خرا,Lebanon,abusive
الموت ل وفاء كيلاني طعمرك الهي خطافة الرجالة,Lebanon,abusive
التحرش بالأطفال سهههل ومتعه من بيجرب ؟  #كلب #معصيتي_راحتي,Lebanon,hate
وانتي مال أهلك يا معرضه خليكى فى بلدك,Lebanon,abusive
بدا ثورة على حطوا روبورتاج صغير عن جبران باسيل وانهوه بجملة ما تكون متل جبران,Lebanon,normal
إعلام القمة العربية التنموية يعلن أن اقتراحا لبنانيا مهما سيقر في شأن أزمة النازحين واللاجئين سيذيعه وزير الخارجية جبران باسيل,Lebanon,normal
مش معقول كمية الجهل والغباء والحقد الاعمى بالردود شعب بس بعد ناقصوا الرسن المكاري موجود بس هيك ♂,Lebanon,hate
الحريم متفاعلين اكثر من الرجال,Lebanon,normal
الله يطول عمرك حضرة الرئيس وئام وهاب,Lebanon,normal
العمى شو كنا بهايم هدنك الساعة,Lebanon,abusive
كول هوا وكفنا شرك احسن منفرجيك بشروط مين منمشي لبنان وعملا اسرائيل لمتلك,Lebanon,abusive
ولك هيدي حطيتا هون تويتر كمان هههههه,Lebanon,normal
منيح في مين بوصللنا صوتنا دون كزب ونفاق الله يخليك بمواجهة الفساد المحتل هالبلد,Lebanon,normal
خنازير وقرده وش تتوقع منهم,Lebanon,hate
والله لو فعلاً في دولة قانون ما كانت تركت امثالك يسرحون ويمرحون وعلى الشرفاء يتجنون,Lebanon,normal
كتبت تويت من يومين  توقّعت فيها اتّهام جبران باسيل بسرقة السندات القطرية حطيتها بال قلت مش معقول نوصل لهالدرجة,Lebanon,normal
خلص كول هوا  شو سقيل,Lebanon,abusive
ولك إنت مين يا حشرة لحتى تشبه حالك للعملاق مارسيل غانم,Lebanon,abusive
لو منو رجل فاسد ما بضل يكشف عن فساده,Lebanon,normal
كم سهرنا من ليال للصباح لا ننم,Lebanon,normal
هههههه حمير ولا ماكان الفرس ركبوكم مسألة وقت يا خنزير لم يبقى الا القليل شوف وين كنتو وين صرت…,Lebanon,hate
الثرموستات القديم بعمره خلال الأربع سنين الماضية من وقت ما سكننا ما تعطل ولا مرة  يعني ليش اكل الخرا وثرموستات سمارت حدا يفهمني,Lebanon,abusive
وضح مين هني الشركات ومين أصحابها ؟,Lebanon,normal
وئام شعبان الزعامة بني معروف عند وليد وجنبلاط اب عن جد,Lebanon,normal
آخ يا جبران باسيل شو قاهر عالم انت معلم منا وجر,Lebanon,normal
مشكلة الوطن بسوء الإنتماء، وتغليب المصالح الخاصة,Lebanon,normal
انشاءالله يا جبران دايماً خسران,Lebanon,normal
ميريام كلينك حالة نادرة لن تتكرر  يصلح أن تُدرَس وتُدَرَّس في الجامعات قسم علم النفس,Lebanon,normal
يعني كمان نحن فينيئيين بلا مؤاخزة؟,Lebanon,normal
انت خراس,Lebanon,abusive
يا استاذ وئام اذا بدك يانا نصدقك و نمشي معك يجب عليك ان تسمي الفاسد الصديق قبل الغريم القصة فش نكايات,Lebanon,normal
أحسد الأولاد على حاجة وحدة يقدرون يتجمعون ويتمشون مع بعض ومع ذلك يجرون ورا الحريم الخبلان,Lebanon,normal
كلام أصاب كبد الحقيقة,Lebanon,normal
بيان الأزهر بشأن التحرش الجنسي يظهر الصراع بين التيار الإصلاحي  والقائمين على الأزهر، #البوصلة_مع_إسلام_بحيري…,Lebanon,normal
بتجيب كبريت النسر المفشفش يلي كان تقليد الكبريت أبو تلت نجوم الباكستاني 😂,Lebanon,normal
شوي وبيصير عنا ثقافة ولي عهد,Lebanon,normal
ملائكة منحرفة وسافله,Lebanon,hate
وقصر ابن الحرام,Lebanon,abusive
مشاركة شيخ الغريب لم تأت من وراء ثقلك ومن معك  يا كبير   ، أتت من مشغليك في الغرف السوداء ونواياهم الإجرامية لزرع الفرقة وال…,Lebanon,normal
يستاهل الدعس,Lebanon,normal
شو يا كركوز,Lebanon,abusive
بكره كل البنات نفس الريحه,Lebanon,hate
لست خجولاً حين أصارحكم بحقيقتكم ، إن حظيرة خنازير أطهر من أطهركم ..,Lebanon,hate
شوف أسماء المقبولين وتاريخ الولادة سنة,Lebanon,normal
هههه ليش خلينا عم نفوت نشرشحو لهل خنزير ابو الصرامي وئام,Lebanon,abusive
السيد نصرالله العلاقة مع الرئيس ميشال عون لم تتزعزع ابدا والعلاقة مع رئيس التيار الوطني الحر جبران باسيل لم تتبدل ابداً,Lebanon,normal
ما حدا يهاجم الصحابي الجليل جبران باسيل سلام الله عليه,Lebanon,normal
وزغرطي يا انشراح,Lebanon,normal
مادام واخذها بايره يتحمّل مايجيه,Lebanon,hate
تذكير بفترة بالتحديد حرب أيار كل الاحزاب قالت شكرا قطر,Lebanon,normal
لا يجوز تجاوز الدستور وتطبيق قانون سكسونيا,Lebanon,normal
خنازير الجزيره تربيه يهود,Lebanon,hate
ههههههههههههههههههه لا تلومية اصلا شرب من بول البعير وهوه مش متعود علية,Lebanon,hate
ههههههههههه ههههههههههه  ههههههههههه بين عليهم بي كلو لحم خنازير ماعبش فيهم غيره قبحم الله,Lebanon,normal
بيت الوسط حامي الوحدة اللبنانية ، وكلكن طالبتو بعودة سيد بيت الوسط ليحمي العيش المشترك واذا في شي ملوث هيي النفوس الضعيفة يلي ما تتقبل وجود رئيس حكومة معتدل وقوي ويلي يستقبل بكل دول العالم على انو الرقم واحد بلبنان,Lebanon,normal
انت حمار ياض,Lebanon,abusive
معا لحماية أطفالنا من التحرش الجنسي,Lebanon,normal
حمار انت ومعلمك,Lebanon,abusive
لاحول ولاقوه الا بالله كل ذا الدقن والشنب اخرتها يحاشر الحريم في جوايزهم خلك رجال ورح درب فريق رجال,Lebanon,hate
تخيل قديش لبنان زبالة اذا وش السحارة تبعه جيسيكا عازار,Lebanon,hate
سوال وجيه,Lebanon,normal
هههعععععع اي علوم ههههه بول البعير,Lebanon,hate
والله انا معاك بس مش معناه بردو انهم يلبسوا لبس ضيق وفخادها وصدرها كله هيبظ من الهدوم فا متكلموش عن التحرش غيرلما ت…,Lebanon,hate
لو في دولة اصلا كانوا زجوك الك بالسجن فورا,Lebanon,normal
والك عين تدافع عن روسيا وهيي عم تعترف انو كل طلعة لأسرائيل عندا علم فيها ، ولشو وجود الروس اذا مش جايين يدافعو عن الشعب والقيادة السورية ، هيدا دليل انو الروس واسرائيل واميركا هني ب ، تفضلوا ردوا يا روس ع إسرائيل ووين الدفاعات الجوية لي,Lebanon,normal
انا معاكي يامريم ان التحرش اصله من الرجاله بس مش لازم نرج بشتايم يعني — انا مشتمتش…,Lebanon,normal
والبيض العفن عندكم يا خنازير,Lebanon,hate
الحين في ووركينغ شخصية البطل يحب الكائنات الصغيرة بشكل عام بس اتقبلتها لأنه واضح نظرته مو منحرفة,Lebanon,normal
هذا البطل الذي قاتل وجاذف بحياته لتحيا انت يا واطي يا عيب الشوم,Lebanon,abusive
اتوقع لو طالبوا فيها الحريم عندنا لوكالة تويوتا راح يوفرونها كونها مناسبه لهم,Lebanon,normal
ام ركبه سودا خرسي يا كلبه غسب عنك تنبحي في منشني هههههههه,Lebanon,hate
ضفدع وسخ,Lebanon,hate
لا يا كابتن رضا هما دول خنازير الخليج اتعودوا يعاملوا المصريين كده وهما شغالين عندهم هناك فهو وامثال…,Lebanon,hate
ومصر مش لاهل امك ولا بلد ابوك مصر للمصريين ياخنزير البنا..  وانت بقي هربان في…,Lebanon,hate
اوووه الشافعة الجاهلة  انا عجوزة بايرة ؟؟؟؟؟ انا ؟؟؟ م بعرف ليك شي كعب,Lebanon,hate
و الناشطات ما طالبوا بالقاء الضوء على بلدكم الزباله,Lebanon,hate
هذا شيخ الفتنه يا ابا الفتنه,Lebanon,normal
ليش دايما الأشخاص المناح بيروحوا ويبقى أمثال جبران باسيل,Lebanon,normal
يا حرام هالوطن شو صار متحمل,Lebanon,normal
وطننا ليس فقط بحاجة لضمائر مسؤولين نظيفين القلب والكف بل بحاجة الى شعب يحب هذا الوطن ويحافظ على نظافته,Lebanon,normal
وئام وهاب انت مشروع فتنة درزية أنت يا من تتغنى بدرزيتك كل يوم ، كيف سمحت لك درزيتك ان تكون رأس حربة ل…,Lebanon,hate
مقابل المال يبيع اهله لاغرابه ابدا ذا الاشكال اراقوزات لا اكثر خنازير متناقضه لاشرف مهنه ولا…,Lebanon,normal
أولا: الشاب لو حب يتحرش بيتحرش بالأخضر واليابس ، متبرجة أو لا.,Lebanon,hate
أنت أردني اوسخ من خائن,Lebanon,hate
بفهمك يمكن صعبة عليك تشوف إنسان ناجح و نظيف متل جبران باسيل,Lebanon,normal
بس ي بايره,Lebanon,hate
الله لا يعطيكم العافية فوق تعبكم لو ضلينا روم افضل و نحنا رومان اصلا و سريان يا امة الجهل و الخرف و الهبل,Lebanon,hate
وجوله وسخ زيه يلا هه,Lebanon,hate
كنت حابب علق بعدين قرفت وبطلت حسيتك ماتستاهل,Lebanon,normal
لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,Lebanon,hate
يا احمد وين جبران باسيل بالتغريدة ولك شغلتلي بالي بك شي يا حبيبي,Lebanon,normal
يا شباب روقو شوي هيدا كل ما نسبو او نبهدلو بينبسط وبزغرط كمان عندو اصحاب ومتابعين اه,Lebanon,normal
المغاربه شاربين بول البعير,Lebanon,hate
يخسي يا ناعم يا شيخ الحريم.  من البنات ما فرقتاك يخس…,Lebanon,hate
غريب أمر هاللبنانيي كيف صايرين يتدخّلوا بأمور الوزرا ويعلموهن شغلن هني في شي مرة تدخّلوا بأموركن؟ اتركوهن ما يعرفوا يشتغلوا 😎,Lebanon,normal
العار كل العار جماعة الدجالين   وئام وطلال و ناصر الدين وكل من يحالفكم ويدعمكم ، مهزلة المجتمع مهزلة…,Lebanon,hate
كلام صحيح وبموضوعية من دون تموضع وتوجه سياسي,Lebanon,normal
يا واطي يا كلب حذاء هاؤلاء الابطال اطهر  منك حزب الله شرفك عرضك كرامتك يلي بلى كرامي,Lebanon,abusive
على اساس انت بتدافع عن غاندي انفوخ باللبن يلا منتسلى ولو يا بوق,Lebanon,normal
جبران باسيل اتمنى لاتحط بلدك لبنان في مواجهه مباشره مع السعوديه بشوي تصريحات سخيفه تصل ببلدك الى حد البكاء في كل…,Lebanon,normal
إنها لمهزلة حقيقية أن نحوّل الفشل إلى شيء نفتخر به مكابرة ونكران وانعدام تام للمسؤولية,Lebanon,normal
نجحنا بقوتنا شكراً فخامة الرئيس ومعالي الوزير جبران باسيل,Lebanon,normal
طلع كلب تفووووو على السومه  والله كنت بحبو بس للأسف طلع خاين لبلدة واهله وناسه,Lebanon,abusive
ما عمنفهم خلص اخدتو قرار تعزلو لبنان نهائي ؟ مافي شي عاجبكن يا بتلعبوني عدلالي يا بطل بدي العب ، عيب لي عم…,Lebanon,normal
وليد بيك انت الجزمة ونحنا جريك من شعارات الحزن التقدمي,Lebanon,abusive
المشكلة أن البدوي الذي لا يملك الى بول البعير ( حسب أع…,Lebanon,hate
جبران باسيل جمع يلي ما بينجمعوا,Lebanon,normal
جميل حسن خنزير مهمته قتل أهل السنة حصرا,Lebanon,hate
إلى متى يعني الحريم إذا زاروا وحدة توها والده,Lebanon,normal
نحنا اهل الجبل مش معبرينك ومتبريين منك بدك بفنزويلا يعبروك الله يثبت علينا العقل والدين,Lebanon,normal
أفحمتني يا محمد هيدي جملة من الإنجيل يعني عالقليلة معترف فينا مش متل غيرك بس يا ريت بتقرا,Lebanon,normal
جبران باسيل لحاله فيلم,Lebanon,normal
يخي كول هوا و خليك في دولتك فرنسا,Lebanon,abusive
يللي عايش على بول البعير، فالصو,Lebanon,hate
لمو كلبكم يا اهلنا فى الكويت هاذا جزا السعوديه يطلع خنزير وسخ خسيس ينبح علينا والله عيب والله عيب والله عيب,Lebanon,hate
بعد 25عاما على توقيع اتفاق أوسلو..اللاجئون الفلسطينيون يصارعون في الشتات لانتزاع حق العودة  تقرير| #إسراء_الصفدي,Lebanon,normal
هههههه ما تشتري الا شرف أمك يا عاهرة آل سعود . اشربي بول البعير وجاهدي جهاد…,Lebanon,hate
مي او حرز,Lebanon,normal
الجولان معن يا أرنب,Lebanon,normal
رئيسك للأبد,Lebanon,normal
ملك تبييض الطناجر العقاب لوهاب وهاب قاتل ابو دياب,Lebanon,normal
اذا هالمرة بتقولولنا انو رجعت قصة تشكيل الحكومة للمربع الأول، رح نقلكن أختكن ع إخت هاللعبة ما بقى بدنا نلعب,Lebanon,abusive
صدق انو الناس ماشية ومغمضة عينيها فعلا الفوائد سيدفعا الشعب والودائع سيصرفها القرطة نفسها يلي صرفت …,Lebanon,normal
كل واحد بيحكي بأصلو شكراً الك,Lebanon,normal
انتا عاهرة أم سياسي أم شيخ عقل؟,Lebanon,abusive
وحده قالت لي كلام : التي تطالب باسقاط الولاية هي يا عاقة والدين او منحرفة تريد ان تاخذ حريتها المطلقة في الحرام. ول…,Lebanon,hate
صدام بالكندرة خلاه يأسلم 😂,Lebanon,abusive
وبخصوص كلمتك دول خنازير مايمشو الا با…,Lebanon,hate
فلنصلي ونناشد الرب بلكي بيوعى ضمير المسؤولين,Lebanon,normal
الاسود للحريمات؛الفوشي يليق بي,Lebanon,normal
لي اصلا اكتر بلد عربي قراراته داخلية مية بالمية والدولة بتشتغل فيه بلا ميزانية وبلاحكومة,Lebanon,normal
رغم الظروف الي عاشها لبنان بالمرحلة السابقة من حرب للإغتيالات وغيره ، ما شفت متل الحالة الي ن…,Lebanon,normal
وئام وهاب كلب يحركة رائحة الدسم من المال لاعقيدة ولاعروبه وابعد مايكون عن الرجوله والشرف,Lebanon,abusive
عشان مفيش مدرب خراس مرمي فاهم,Lebanon,abusive
من أول انطباع تعرف أنه ازق من مر على النادي بعد خنزير اليونايتد,Lebanon,hate
وزير الخارجية جبران باسيل في مقابلته,Lebanon,normal
وليد جنبلاط يتحدث عن الشيطان الاكبر والشيطان الاصغرالظاهر نسي يذكر انو هو ابو الشياطين كلها,Lebanon,abusive
ميامو الإعلام معذورين ما في غير جبران باسيل بيجبلكن رايتينغ,Lebanon,normal
اللعنة علي قطر شعبا و حكومة و مقيمين,Lebanon,hate
روح تعالج يا حمار انت,Lebanon,abusive
اليتبقي  فحل في العين  من الحريم توصل في خاص,Lebanon,hate
قصدك مليار تحية وبعملة الزلم مليون تريليون تحية,Lebanon,normal
توظيف كتاب عدل من ثلاث اشقاء بالنتائج الاخيرة هم غرايس عصام نعيم، آلان عصام نعيم وايلي عصام نعيم,Lebanon,normal
ميمنعش انه ابن كلب وسخ برضوا,Lebanon,hate
عفواً بس شو هالتحليل الطيازي هاد من وين لوين الفلسطينية أشعلوا الثورة,Lebanon,abusive
بعد كلام سماحة السيد حسن نصر الله البارحة تبين ان كل حملات شيطنة الوزير جبران باسيل قد سقطت,Lebanon,normal
ليك يا زمك عروف حالك شو عم تحكي مين انت اساسا لو انك زلمي كنت بتحط اسمك مش اسم مستعار يا لبناني يا هبيل انت فا فرقنا بريحة طيبة احسنلك يا حثالة المجتمع,Lebanon,hate
القمه العربية الاقتصادية ارادوها النهاية فكانت البداية,Lebanon,normal
لكل من اسمه نصيب اعور بالمخ انت,Lebanon,abusive
انت اكيد فهمان الكرامة غلط و مفكرها نوع من انواع الكبسة او من بول البعير اي اي تحكمنا مي…,Lebanon,hate
هيدا اسوأ عهد مرق بتاريخ لبنان,Lebanon,normal
سؤال اللواء عماد عثمان عاملّك واحد خليفاني بالعرض وموجّعك كتير لحتى كل يوم بتغرّد عنو من الوجع,Lebanon,abusive
يوم بعد يوم تؤكد للكثير انك حاقد مأجور قطشة روح نام,Lebanon,abusive
تعرض الشخصية البصرية الشيخ محمد الزيداوي الى محاولة اغتيال فاشلة من قبل زمرة منحرفة ما أدى الى إصابته  إصابة بسيطة وا…,Lebanon,normal
عشان ربنا مدينا هندوس عليهم,Lebanon,normal
مطلق الهاشتاق حقير وضيع وكذاب  هذي حركات خنازير جزيرة شرق سلوى#يوسف_علاونة_يسي_للسعوديين,Lebanon,hate
هاد تهليل لجبران باسيل قال شحدها من امير قطر عفوا طلبها طلب على اساس يعنل شي نجاح شخصي فاعطاه قرض ونبسطوا عليه لانو اجيت الرزقة,Lebanon,normal
يا خنازير احنا دم واحد دين واحد قلب واحد,Lebanon,hate
مش جبران باسيل فرض حاله يا اغلى من الغالي الرئيس هيك بدو وكانت ثقته بمحلها وبخصوص الر…,Lebanon,normal
هل بادروهم اليونانين بالمثل للسورين بيوم الصعوبات التي يمرون بها السوريون ام عملوا عليهم تسكير على شواطئ بحر اليونان,Lebanon,normal
اي بنت شهوانية منحرفة جاية تطلع محنها تكلمني ننحرف مع بعض ونصييييع,Lebanon,hate
القم يا خنزير,Lebanon,hate
زمن الصهر جبران باسيل زمن التبعية والتعطيل,Lebanon,normal
يظل التحرش في نظر الأنثى تحرشاً حتى يقوم به الرجل المناسب,Lebanon,hate
ذكرت كلام تجمع قبل بمعنى كلامهم الحريم ماعندهن هياط بالكلمات وفعلاً تو قريتها حسّيت اللي كاتبه دكتور او دكتوره,Lebanon,normal
مشكلة جبران باسيل انه يخلط لا بل يبدي مصلحته الشخصية السياسية الوصول الى الكرسي الراءسي باي ثمن منتعلا جزمتي حسن وبشار…,Lebanon,normal
نصرالله يكسر الصمت,Lebanon,normal
يا خنزير  لا  تستعجل.  جايكم الدور  خلينا نربيكم في اليمن ونربي قطر. و…,Lebanon,hate
الكيرفي. ياريس. عشان التحرش,Lebanon,hate
الله يستر الحريم لايتطلقوا انا اختي بدون ناعمة يالله مشيه امورها,Lebanon,hate
نعم هيدا الخسيس هو اكبر عميل صهيوني من زمن الحرب اللبنانية كان كتائب وبعدين صار قواتجي,Lebanon,abusive
يجعلهم بالحرق لسة ما نشف دمنا من زناختهم بلا مؤاخذة,Lebanon,abusive
عاهر بكلامو بس معلمك شو,Lebanon,abusive
خلك بعيد يا كلب حسن عفوآ احمار حسن كان الكلب يركب الحمار لاتتطفل على ادروز يا العميل,Lebanon,abusive
قطر مرادف الارهاب,Lebanon,hate
شيعة جنوب لبنان معروفين عند اللبنانيين بالفوضوية ورفع الصوت وعندما يهزمون بالحجة الحل عندهم الفوضى,Lebanon,hate
